plec;wiek;czas_w_pom;temp_w_pom;poziom_kurzu;poziom_oswietlenia;niebezp_towary;decyzja
2;54;40;0;60;59;0;1
2;55;40;0;60;59;0;1
2;25;40;0;60;59;0;1
2;60;40;0;60;59;0;1
2;25;50;0;60;59;0;1
2;55;50;0;60;59;0;1
2;54;40;0;87;32;0;1
2;55;40;0;87;32;0;1
2;19;51;0;71;48;0;1
2;68;51;0;62;48;0;1
2;54;40;0;59;59;1;1
2;55;40;0;60;60;1;1
2;25;40;0;59;59;1;1
2;60;40;0;60;60;1;1
2;25;50;0;45;45;1;1
2;55;50;0;71;71;1;1
2;54;40;0;33;33;1;1
2;55;40;0;87;87;1;1
2;19;51;0;50;50;1;1
2;68;51;0;62;62;1;1
2;54;40;0;59;59;0;0
2;55;40;0;60;60;0;0
2;25;40;0;59;59;0;0
2;60;40;0;60;60;0;0
2;25;50;0;45;45;0;0
2;55;50;0;71;71;0;0
2;54;40;0;33;33;0;0
2;55;40;0;87;87;0;0
2;19;51;0;50;50;0;0
2;68;51;0;62;62;0;0
2;54;40;0;59;60;0;0
2;55;40;0;59;60;0;0
2;25;40;0;59;60;0;0
2;60;40;0;59;60;0;0
2;25;50;0;59;60;0;0
2;55;50;0;59;60;0;0
2;54;40;0;32;87;0;0
2;55;40;0;32;87;0;0
2;19;51;0;45;71;0;0
2;68;51;0;47;62;0;0
1;54;40;0;59;59;0;1
1;55;40;0;60;60;0;1
1;25;40;0;59;59;0;1
1;60;40;0;60;60;0;1
1;25;50;0;45;45;0;1
1;55;50;0;71;71;0;1
1;54;40;0;33;33;0;1
1;55;40;0;87;87;0;1
1;19;51;0;50;50;0;1
1;68;51;0;62;62;0;1
2;54;39;0;60;59;1;1
2;55;39;0;60;59;1;1
2;25;39;0;60;59;1;1
2;60;39;0;60;59;1;1
2;25;20;0;60;59;1;1
2;55;20;0;60;59;1;1
2;54;39;0;87;32;1;1
2;55;39;0;87;32;1;1
2;19;24;0;71;48;1;1
2;68;24;0;62;48;1;1
